districtcode,centile,superzip,rank,adultpop,households,college,income,Unemp..Rate,X..in.Unemp.sample
MA4,90.95753,0,1372,7133,2650,0.3914202,116.4522,0.06,8476
MA8,99.96086,1,13,2874,592,0.7251218,229.9284,0.06,3414
MA8,97.23901,1,451,3080,634,0.6594156,122.1246,0.02,3682
MA7,99.31499,1,117,1246,309,0.7672552,159.1598,0.01,1522
MA8,99.31499,1,117,1246,309,0.7672552,159.1598,0.01,1522
MA7,22.07605,0,15777,3634,925,0.2479362,30.49192,0.1,6615
MA8,90.6624,0,1415,5252,926,0.60377,78.456,0.02,6569
MA8,98.59532,1,238,9223,1570,0.7073621,137.7975,0.05,10995
MA7,83.12774,0,2494,11071,2268,0.6004878,52.45961,0.11,28363
MA7,98.2205,1,309,14520,3085,0.696281,130.5678,0.05,19078
MA8,65.5435,0,5215,16290,3343,0.4392879,43.34302,0.11,23660
MA7,65.5435,0,5215,16290,3343,0.4392879,43.34302,0.11,23660
MA7,14.22147,0,18577,14240,5528,0.1492978,40.07271,0.15,18314
MA7,44.56377,0,9473,5796,1998,0.3217736,36.91224,0.11,10603
MA7,8.316151,0,20895,13891,6090,0.1223814,37.57389,0.22,18603
MA8,34.99115,0,11823,14836,5268,0.1769345,53.44684,0.15,19377
MA7,34.99115,0,11823,14836,5268,0.1769345,53.44684,0.15,19377
MA8,30.23862,0,13237,30470,12098,0.173679,49.95424,0.17,37038
MA7,30.23862,0,13237,30470,12098,0.173679,49.95424,0.17,37038
MA8,30.57173,0,13117,20446,7286,0.1907464,47.32858,0.12,25066
MA7,30.57173,0,13117,20446,7286,0.1907464,47.32858,0.12,25066
MA7,33.10415,0,12341,17058,7035,0.1552937,55.54423,0.17,21318
MA8,58.20771,0,6531,21510,6267,0.2758252,60.94462,0.08,27860
MA7,58.20771,0,6531,21510,6267,0.2758252,60.94462,0.08,27860
MA5,13.8328,0,18718,24819,8768,0.1043958,47.43973,0.1,33633
MA7,13.8328,0,18718,24819,8768,0.1043958,47.43973,0.1,33633
